Brown University Keck/NASA Relab Spectrum LR-CMP-098/BKR1LR098
Wavelength(micron)	Reflectance
3.6802	0.38416
3.6828	0.38436
3.6854	0.38453
3.6881	0.38471
3.6907	0.38487
3.6933	0.38508
3.6959	0.38526
3.6986	0.38545
3.7012	0.38566
3.7039	0.38585
3.7065	0.38602
3.7092	0.38621
3.7118	0.38639
3.7145	0.38657
3.7171	0.38675
3.7198	0.38693
3.7225	0.38708
3.7252	0.38725
3.7278	0.38740
3.7305	0.38757
3.7332	0.38774
3.7359	0.38791
3.7386	0.38805
3.7413	0.38822
3.744	0.38840
3.7467	0.38857
3.7494	0.38873
3.7521	0.38888
3.7548	0.38902
3.7576	0.38921
3.7603	0.38938
3.763	0.38955
3.7657	0.38971
3.7685	0.38986
3.7712	0.38997
3.774	0.39009
3.7767	0.39024
3.7795	0.39042
3.7822	0.39058
3.785	0.39071
3.7877	0.39081
3.7905	0.39096
3.7933	0.39109
3.7961	0.39120
3.7988	0.39132
3.8016	0.39147
3.8044	0.39162
3.8072	0.39174
3.81	0.39183
3.8128	0.39198
3.8156	0.39209
3.8184	0.39221
3.8212	0.39232
3.8241	0.39246
3.8269	0.39258
3.8297	0.39268
3.8325	0.39276
3.8354	0.39286
3.8382	0.39296
3.8411	0.39309
3.8439	0.39320
3.8468	0.39333
3.8496	0.39342
3.8525	0.39350
3.8553	0.39361
3.8582	0.39372
3.8611	0.39380
3.8639	0.39392
3.8668	0.39400
3.8697	0.39408
3.8726	0.39413
3.8755	0.39422
3.8784	0.39434
3.8813	0.39446
3.8842	0.39452
3.8871	0.39463
3.89	0.39471
3.893	0.39478
3.8959	0.39485
3.8988	0.39495
3.9017	0.39500
3.9047	0.39507
3.9076	0.39515
3.9106	0.39522
3.9135	0.39527
3.9165	0.39533
3.9194	0.39537
3.9224	0.39542
3.9254	0.39546
3.9284	0.39551
3.9313	0.39557
3.9343	0.39567
3.9373	0.39571
3.9403	0.39576
3.9433	0.39579
3.9463	0.39585
3.9493	0.39588
3.9523	0.39592
3.9553	0.39593
3.9583	0.39600
3.9614	0.39602
3.9644	0.39602
3.9674	0.39604
3.9705	0.39612
3.9735	0.39614
3.9766	0.39615
3.9796	0.39619
3.9826	0.39624
3.9857	0.39623
3.9888	0.39628
3.9919	0.39633
3.9949	0.39638
3.998	0.39640
4.0011	0.39644
4.0042	0.39644
