Brown University Keck/NASA Relab Spectrum LR-CMP-023/LALR23
Wavelength(micron)	Reflectance
3.773	0.17749
3.7758	0.17758
3.7785	0.17757
3.7813	0.17765
3.784	0.17774
3.7868	0.17773
3.7896	0.17778
3.7923	0.17784
3.7951	0.17785
3.7979	0.17795
3.8007	0.17800
3.8035	0.17806
3.8063	0.17819
3.8091	0.17819
3.8119	0.17817
3.8147	0.17824
3.8175	0.17826
3.8203	0.17830
3.8231	0.17838
3.8259	0.17842
3.8288	0.17842
3.8316	0.17849
3.8344	0.17853
3.8373	0.17863
3.8401	0.17861
3.8429	0.17860
3.8458	0.17865
3.8487	0.17877
3.8515	0.17885
3.8544	0.17887
3.8572	0.17890
3.8601	0.17895
3.863	0.17903
3.8659	0.17909
3.8688	0.17911
3.8716	0.17910
3.8745	0.17915
3.8774	0.17925
3.8803	0.17925
3.8832	0.17935
3.8862	0.17943
3.8891	0.17944
3.892	0.17940
3.8949	0.17945
3.8978	0.17953
3.9008	0.17963
3.9037	0.17962
3.9067	0.17961
3.9096	0.17966
3.9126	0.17978
3.9155	0.17978
3.9185	0.17973
3.9214	0.17979
3.9244	0.17989
3.9274	0.17989
3.9304	0.17988
3.9333	0.17988
3.9363	0.17993
3.9393	0.17998
3.9423	0.17998
3.9453	0.17997
3.9483	0.18002
3.9513	0.18004
3.9543	0.18010
3.9574	0.18016
3.9604	0.18022
3.9634	0.18022
3.9664	0.18027
3.9695	0.18037
3.9725	0.18039
3.9756	0.18036
3.9786	0.18044
3.9817	0.18046
3.9847	0.18044
3.9878	0.18050
3.9909	0.18061
3.9939	0.18062
3.997	0.18063
4.0001	0.18066
4.0032	0.18068
4.0063	0.18071
4.0094	0.18080
4.0125	0.18085
4.0156	0.18088
4.0187	0.18092
4.0218	0.18089
4.0249	0.18084
4.0281	0.18091
4.0312	0.18102
4.0343	0.18098
4.0375	0.18091
4.0406	0.18096
4.0438	0.18100
4.0469	0.18110
4.0501	0.18117
4.0533	0.18119
4.0564	0.18118
4.0596	0.18119
4.0628	0.18121
4.066	0.18125
4.0692	0.18132
4.0724	0.18138
4.0756	0.18143
4.0788	0.18148
4.082	0.18152
4.0852	0.18157
4.0884	0.18164
4.0917	0.18164
4.0949	0.18165
4.0981	0.18173
4.1014	0.18173
4.1046	0.18173
4.1079	0.18177
4.1111	0.18186
4.1144	0.18186
4.1177	0.18186
4.1209	0.18192
4.1242	0.18192
4.1275	0.18196
4.1308	0.18198
4.1341	0.18194
4.1374	0.18198
4.1407	0.18200
4.144	0.18204
4.1473	0.18208
4.1506	0.18210
4.154	0.18216
4.1573	0.18223
4.1606	0.18225
4.164	0.18231
4.1673	0.18232
4.1707	0.18235
4.174	0.18238
4.1774	0.18236
4.1808	0.18234
4.1841	0.18237
4.1875	0.18239
4.1909	0.18247
4.1943	0.18243
4.1977	0.18244
4.2011	0.18250
4.2045	0.18252
4.2079	0.18253
4.2113	0.18258
4.2147	0.18258
4.2182	0.18266
4.2216	0.18283
4.225	0.18298
4.2285	0.18306
4.2319	0.18318
4.2354	0.18324
4.2389	0.18322
4.2423	0.18326
4.2458	0.18335
4.2493	0.18325
4.2528	0.18312
4.2563	0.18313
4.2598	0.18307
4.2633	0.18301
4.2668	0.18313
4.2703	0.18324
4.2738	0.18328
4.2773	0.18334
4.2809	0.18345
4.2844	0.18346
4.288	0.18345
4.2915	0.18349
4.2951	0.18351
4.2986	0.18346
4.3022	0.18346
4.3058	0.18340
4.3093	0.18340
4.3129	0.18343
4.3165	0.18340
4.3201	0.18334
4.3237	0.18334
4.3273	0.18334
4.3309	0.18330
4.3346	0.18327
4.3382	0.18329
4.3418	0.18330
4.3455	0.18332
4.3491	0.18335
4.3528	0.18341
4.3564	0.18339
4.3601	0.18338
4.3638	0.18342
4.3674	0.18340
4.3711	0.18336
4.3748	0.18337
4.3785	0.18340
4.3822	0.18339
4.3859	0.18337
4.3896	0.18338
4.3933	0.18339
4.3971	0.18336
4.4008	0.18338
4.4045	0.18348
4.4083	0.18341
4.412	0.18333
4.4158	0.18335
4.4196	0.18338
4.4233	0.18339
4.4271	0.18348
4.4309	0.18354
4.4347	0.18354
4.4385	0.18355
4.4423	0.18349
4.4461	0.18345
4.4499	0.18348
4.4537	0.18346
4.4576	0.18350
4.4614	0.18347
4.4652	0.18343
4.4691	0.18347
4.4729	0.18349
4.4768	0.18349
4.4807	0.18348
4.4845	0.18344
4.4884	0.18346
4.4923	0.18340
4.4962	0.18332
4.5001	0.18332
4.504	0.18331
4.5079	0.18325
4.5119	0.18318
4.5158	0.18314
4.5197	0.18314
4.5237	0.18306
4.5276	0.18299
4.5316	0.18290
4.5356	0.18287
4.5395	0.18284
4.5435	0.18276
4.5475	0.18261
4.5515	0.18253
4.5555	0.18248
4.5595	0.18239
4.5635	0.18229
4.5675	0.18215
4.5715	0.18203
4.5756	0.18196
4.5796	0.18180
4.5837	0.18168
4.5877	0.18154
4.5918	0.18136
4.5959	0.18121
4.5999	0.18109
4.604	0.18096
4.6081	0.18078
4.6122	0.18061
4.6163	0.18039
4.6204	0.18018
4.6246	0.18001
4.6287	0.17980
4.6328	0.17958
4.637	0.17935
4.6411	0.17913
4.6453	0.17892
4.6494	0.17869
4.6536	0.17848
4.6578	0.17822
4.662	0.17792
4.6662	0.17772
4.6704	0.17749
4.6746	0.17721
4.6788	0.17695
4.683	0.17673
4.6873	0.17646
4.6915	0.17618
4.6958	0.17590
4.7	0.17563
4.7043	0.17536
4.7086	0.17512
4.7129	0.17486
4.7171	0.17458
4.7214	0.17429
4.7257	0.17400
4.7301	0.17368
4.7344	0.17337
4.7387	0.17308
4.743	0.17281
4.7474	0.17254
4.7517	0.17228
4.7561	0.17196
4.7605	0.17162
4.7648	0.17138
4.7692	0.17114
4.7736	0.17081
4.778	0.17051
