Brown University Keck/NASA Relab Spectrum LR-CMP-168/BIR2LR168
Wavelength(micron)	Reflectance
1.2616	0.17759
1.2619	0.17764
1.2622	0.17776
1.2625	0.17790
1.2628	0.17801
1.2631	0.17814
1.2634	0.17817
1.2637	0.17826
1.2641	0.17840
1.2644	0.17848
1.2647	0.17851
1.265	0.17859
1.2653	0.17871
1.2656	0.17882
1.2659	0.17889
1.2662	0.17895
1.2665	0.17907
1.2668	0.17919
1.2671	0.17930
1.2674	0.17938
1.2678	0.17950
1.2681	0.17958
1.2684	0.17969
1.2687	0.17985
1.269	0.17995
1.2693	0.17998
1.2696	0.18006
1.2699	0.18016
1.2702	0.18023
1.2706	0.18032
1.2709	0.18041
1.2712	0.18048
1.2715	0.18060
1.2718	0.18074
1.2721	0.18083
1.2724	0.18092
1.2727	0.18105
1.2731	0.18120
1.2734	0.18128
1.2737	0.18131
1.274	0.18135
1.2743	0.18149
1.2746	0.18161
1.2749	0.18169
1.2752	0.18177
1.2756	0.18189
1.2759	0.18205
1.2762	0.18216
1.2765	0.18224
1.2768	0.18230
1.2771	0.18231
1.2774	0.18239
1.2778	0.18248
1.2781	0.18256
1.2784	0.18270
1.2787	0.18288
1.279	0.18298
1.2793	0.18311
1.2797	0.18324
1.28	0.18326
1.2803	0.18335
1.2806	0.18343
1.2809	0.18351
1.2812	0.18363
1.2815	0.18374
1.2819	0.18384
1.2822	0.18396
1.2825	0.18404
1.2828	0.18406
1.2831	0.18415
1.2834	0.18431
1.2838	0.18444
1.2841	0.18455
1.2844	0.18462
1.2847	0.18470
1.285	0.18483
1.2854	0.18491
1.2857	0.18503
1.286	0.18516
1.2863	0.18524
1.2866	0.18530
1.2869	0.18540
1.2873	0.18552
1.2876	0.18564
1.2879	0.18574
1.2882	0.18581
1.2886	0.18590
1.2889	0.18602
1.2892	0.18612
1.2895	0.18620
1.2898	0.18626
1.2902	0.18636
1.2905	0.18644
1.2908	0.18654
1.2911	0.18667
1.2914	0.18679
1.2918	0.18683
1.2921	0.18696
1.2924	0.18712
1.2927	0.18723
1.2931	0.18735
1.2934	0.18746
1.2937	0.18756
1.294	0.18766
1.2943	0.18779
1.2947	0.18789
1.295	0.18796
1.2953	0.18805
1.2956	0.18824
1.296	0.18836
1.2963	0.18835
1.2966	0.18839
1.2969	0.18853
1.2973	0.18873
1.2976	0.18885
1.2979	0.18886
1.2982	0.18893
1.2986	0.18909
1.2989	0.18919
1.2992	0.18928
1.2995	0.18940
1.2999	0.18950
1.3002	0.18960
1.3005	0.18971
1.3008	0.18980
1.3012	0.18987
1.3015	0.18996
1.3018	0.19006
1.3021	0.19017
1.3025	0.19030
1.3028	0.19043
1.3031	0.19055
1.3034	0.19067
1.3038	0.19080
1.3041	0.19088
1.3044	0.19094
1.3048	0.19108
1.3051	0.19120
1.3054	0.19127
1.3058	0.19137
1.3061	0.19146
1.3064	0.19157
1.3067	0.19171
1.3071	0.19183
1.3074	0.19189
1.3077	0.19195
1.3081	0.19212
1.3084	0.19226
1.3087	0.19236
1.3091	0.19242
1.3094	0.19252
1.3097	0.19264
1.31	0.19279
1.3104	0.19291
1.3107	0.19298
1.311	0.19309
1.3114	0.19319
1.3117	0.19329
1.312	0.19339
1.3124	0.19348
1.3127	0.19360
1.313	0.19376
1.3134	0.19384
1.3137	0.19394
1.314	0.19407
1.3144	0.19417
1.3147	0.19429
1.315	0.19442
1.3154	0.19452
1.3157	0.19459
1.316	0.19470
1.3164	0.19481
1.3167	0.19493
1.317	0.19503
1.3174	0.19519
1.3177	0.19532
1.318	0.19537
1.3184	0.19544
1.3187	0.19557
1.319	0.19569
1.3194	0.19579
1.3197	0.19588
1.3201	0.19599
1.3204	0.19608
1.3207	0.19621
1.3211	0.19635
1.3214	0.19644
1.3217	0.19652
1.3221	0.19665
1.3224	0.19678
1.3227	0.19685
1.3231	0.19702
1.3234	0.19719
1.3238	0.19725
1.3241	0.19737
1.3244	0.19750
1.3248	0.19760
1.3251	0.19772
1.3254	0.19780
1.3258	0.19788
1.3261	0.19800
1.3265	0.19815
1.3268	0.19825
1.3271	0.19835
1.3275	0.19847
1.3278	0.19860
1.3282	0.19870
1.3285	0.19880
1.3288	0.19891
1.3292	0.19901
1.3295	0.19909
1.3299	0.19925
1.3302	0.19940
1.3306	0.19952
1.3309	0.19960
1.3312	0.19966
1.3316	0.19976
1.3319	0.19991
1.3323	0.20005
1.3326	0.20014
1.3329	0.20027
1.3333	0.20036
1.3336	0.20042
1.334	0.20053
1.3343	0.20067
1.3347	0.20079
1.335	0.20089
1.3353	0.20100
1.3357	0.20111
1.336	0.20125
1.3364	0.20142
1.3367	0.20153
1.3371	0.20164
1.3374	0.20178
1.3378	0.20184
1.3381	0.20192
1.3384	0.20206
1.3388	0.20215
1.3391	0.20224
1.3395	0.20236
1.3398	0.20252
1.3402	0.20267
1.3405	0.20274
1.3409	0.20280
1.3412	0.20294
1.3416	0.20306
1.3419	0.20315
1.3423	0.20330
1.3426	0.20341
1.3429	0.20354
1.3433	0.20365
1.3437	0.20373
1.344	0.20388
1.3443	0.20401
1.3447	0.20412
1.345	0.20425
1.3454	0.20433
1.3457	0.20441
1.3461	0.20450
1.3464	0.20461
1.3468	0.20475
1.3471	0.20488
1.3475	0.20505
1.3478	0.20516
1.3482	0.20520
1.3485	0.20535
1.3489	0.20550
1.3492	0.20560
1.3496	0.20572
1.3499	0.20580
1.3503	0.20590
1.3507	0.20603
1.351	0.20615
1.3513	0.20628
1.3517	0.20641
1.3521	0.20649
1.3524	0.20655
1.3528	0.20667
1.3531	0.20679
1.3535	0.20690
1.3538	0.20704
1.3542	0.20718
1.3545	0.20725
1.3549	0.20736
1.3552	0.20751
1.3556	0.20764
1.3559	0.20774
1.3563	0.20787
1.3567	0.20797
1.357	0.20803
1.3574	0.20813
1.3577	0.20827
1.3581	0.20837
1.3584	0.20848
1.3588	0.20862
1.3592	0.20873
1.3595	0.20883
1.3599	0.20894
1.3602	0.20907
1.3606	0.20921
1.3609	0.20930
1.3613	0.20941
1.3617	0.20957
1.362	0.20967
1.3624	0.20974
1.3627	0.20990
1.3631	0.21004
1.3634	0.21015
1.3638	0.21024
1.3642	0.21031
1.3645	0.21041
